epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.557,2.03159,3.18281,1.73683,0.23572,0.11757,0.1637,0.05779,2.08107,3.78728,1.87526,0.000467346,0.000467346,0.000467346
2,559.862,1.88911,2.59646,1.56065,0.344,0.34726,0.1829,0.08059,2.06857,3.30825,1.94312,0.000756831,0.000756831,0.000756831
3,852.04,1.84658,2.48663,1.5482,0.33947,0.36092,0.22758,0.1099,2.04242,3.06121,1.89793,0.000857688,0.000857688,0.000857688
